Index,Civilization,Game Introduction,Description,Start Year (F),End Year (F),Timespan (years),Start Year (W),End Year (W),Peak Iconic Year,Civ Release (Year),Peak Iconic Year (Int),Source,Is_Three_Kingdoms,Is_Roman,Iconic Year,Start Year (W) Numeric,End Year (W) Numeric
20,Incas,The Forgotten ,"High in the Andes Mountains, the Incas forged a powerful empire that stretched for thousands of miles along the western coast of South America. Construct mighty stone fortresses in the clouds, amass vast treasures of gold, and field disciplined armies of hardy warriors to defend your mountain strongholds. The Inca unique unit is the Kamayuk, a sturdy spearman that excels at close-quarters combat. [https://ageofempires.fandom.com/wiki/Incas]",1100.0,1533,433,13th century AD,1572 AD,Early 16th century AD (height of the Inca Empire before Spanish conquest),2013.0,1500,"https://ageofempires.fandom.com/wiki/Incas, https://en.wikipedia.org/wiki/Inca_Civilization",False,False,1316.5,13,1572
21,Italians,The Forgotten ,"From the bustling ports of Venice and Genoa to the proud duchies of Milan and Florence, the Italian peninsula was a vibrant center of trade, culture, and innovation during the Middle Ages. Amass wealth through your powerful trade networks, construct magnificent cathedrals and universities, and field versatile armies of skilled mercenaries to dominate the battlefields of Europe and beyond. The Italian unique unit is the Genoese Crossbowman, an archer unit with a powerful armor-piercing attack. [https://ageofempires.fandom.com/wiki/Italians]",1000.0,1500,500,6th century AD (Byzantine control and Lombard invasion),16th century AD (Italian Renaissance),15th century AD (height of the Italian Renaissance),2013.0,1400,"https://ageofempires.fandom.com/wiki/Italians, https://en.wikipedia.org/wiki/Italy_in_the_Middle_Ages",False,False,1250.0,6,16
22,Japanese,The Age of Kings ,"From their island strongholds, the Japanese samurai warriors cultivated a unique and disciplined martial tradition. Build magnificent castles and monasteries, amass vast schools of fishing boats, and field disciplined armies of samurai and powerful siege weapons to dominate the battlefields of Asia. The Japanese unique unit is the Samurai, a powerful infantry unit that excels at fighting other unique units. [https://ageofempires.fandom.com/wiki/Japanese]",500.0,1550,1050,6th century AD (Asuka period),1603 AD (start of Edo period),"12th-13th centuries AD (Kamakura Shogunate, rise of the samurai)",1999.0,1150,"https://ageofempires.fandom.com/wiki/Japanese, https://en.wikipedia.org/wiki/History_of_Japan",False,False,1025.0,6,1603
23,Jurchens,The Three Kingdoms ,"Dominate the rugged terrain of northeast China with the skilled hunters, armored cavalry, and gunpowder weaponry of the Great Jin dynasty. The Jurchen unique units are the Iron Pagoda, a cavalryman that occasionally blocks melee attacks, and the Grenadier, a foot soldier who hurls deadly incendiary bombs at his enemies. ",1115.0,1644,119,748 AD (First mention in Chinese records) ,1635 AD (Renamed Manchus) ,12th century AD (Jin Dynasty) ,2025.1,1100,"https://ageofempires.fandom.com/wiki/Jurchens, https://en.wikipedia.org/wiki/Jurchen_people",False,False,1379.5,748,1635
24,Khmer,Rise of the Rajas ,"From the magnificent temples of Angkor, the Khmer kings ruled over a vast empire that dominated Southeast Asia for centuries. Construct sprawling networks of canals and reservoirs, field powerful armies of war elephants and ballista elephants, and erect awe-inspiring stone monuments to your glory. The Khmer unique unit is the Ballista Elephant, a powerful siege unit mounted atop a mighty war elephant. [https://ageofempires.fandom.com/wiki/Khmer]",802.0,1431,629,9th century AD (Angkor Empire),15th century AD (decline of Angkor),"12th century AD (reign of Suryavarman II, construction of Angkor Wat)",2016.0,1100,"https://ageofempires.fandom.com/wiki/Khmer, https://en.wikipedia.org/wiki/Khmer_Empire",False,False,1116.5,9,15
25,Khitans,The Three Kingdoms ,"Relive the glory of the Liao dynasty and Kara-Khitai, terrorizing your enemies with mobile hordes and diabolical...source one. ",907.0,1218,311,4th century AD (First inhabited area) ,1218 AD (Fall of Qara Khitai) ,10th-11th centuries AD (Liao Dynasty) ,2025.1,950,"https://ageofempires.fandom.com/wiki/Khitans, https://en.wikipedia.org/wiki/Khitan_people",False,False,1062.5,4,1218
26,Koreans,The Conquerors,"From the rugged peninsula bridging mainland Asia to the islands of Japan, the Korean kingdoms forged a unique and resilient culture. Construct formidable stone fortresses, master the art of siege warfare, and field disciplined armies of archers and powerful war wagons to defend your borders and project your influence across the seas. The Korean unique unit is the War Wagon, a heavily armored wagon that fires multiple arrows. [https://ageofempires.fandom.com/wiki/Koreans]",500.0,1500,1000,600,1910,"15th century AD (reign of Sejong the Great, advancements in science and technology)",2000.0,1400,"https://ageofempires.fandom.com/wiki/Koreans, https://en.wikipedia.org/wiki/History_of_Korea",False,False,1000.0,600,1910
27,Lithuanians,The Last Khans ,"From the forests and marshes of the Baltic, the Lithuanian tribes united to forge a powerful grand duchy that stretched across Eastern Europe. Field swift cavalry and hardy infantry, build formidable wooden castles, and unleash the power of your pagan priests to dominate the battlefields of the north. The Lithuanian unique unit is the Leitis, a fast cavalry unit that gains attack bonuses when fighting alongside other Leitis. [https://ageofempires.fandom.com/wiki/Lithuanians]",1000.0,1430,430,1200,1795,"15th century AD (reign of Vytautas the Great, territorial expansion)",2019.0,1400,"https://ageofempires.fandom.com/wiki/Lithuanians, https://en.wikipedia.org/wiki/Lithuanians",False,False,1215.0,1200,1795
28,Magyars,The Forgotten ,"From the vast plains of Pannonia, the Magyar horsemen thundered into Europe and established a powerful kingdom in the heart of the continent. Field swift and deadly cavalry, construct fortified towns and castles, and unleash devastating raids upon your enemies as you carve out your own destiny in the medieval world. The Magyar unique unit is the Huszar, a light cavalry unit that is effective against siege weapons. [https://ageofempires.fandom.com/wiki/Magyars]",896.0,1526,630,896,1918,10th century AD (establishment of Kingdom of Hungary under Stephen I),2013.0,900,"https://ageofempires.fandom.com/wiki/Magyars, https://en.wikipedia.org/wiki/Hungarians",False,False,1211.0,896,1918
29,Malay,Rise of the Rajas ,"From the tropical islands of Southeast Asia, the Malay kingdoms controlled vital trade routes and built powerful maritime empires. Construct bustling ports and markets, amass fleets of swift warships, and field versatile armies of infantry and elephants to dominate the seas and the jungles of the archipelago. The Malay unique unit is the Karambit Warrior, a fast and inexpensive infantry unit that can overwhelm enemies in large numbers. [https://ageofempires.fandom.com/wiki/Malay]",1000.0,1500,500,7th century AD (rise of Srivijaya),1511 AD (fall of Malacca to Portuguese),15th century AD (Malacca Sultanate),2016.0,1400,"https://ageofempires.fandom.com/wiki/Malay, https://en.wikipedia.org/wiki/Malays",False,False,1250.0,7,1511
30,Malians,The African Kingdoms ,Follow in the footsteps of the great Mansa Musa and become the greatest king of Western Africa. ,800.0,1600,800,1200,1700,14th century AD (reign of Mansa Musa),2016.0,1300,"https://ageofempires.fandom.com/wiki/Malians, https://en.wikipedia.org/wiki/Mali_Empire",False,False,1200.0,1200,1700
31,Mayans,The Age of Kings,"Deep within the jungles of Central America, the Mayan civilization built magnificent cities and developed advanced knowledge of astronomy and mathematics. Construct towering pyramids and temples, amass vast armies of skilled archers, and field the unique Plumed Archer to dominate the battlefields of the New World. The Mayan unique unit is the Plumed Archer, a fast and powerful archer unit. [https://ageofempires.fandom.com/wiki/Mayans]",400.0,1550,1150,2600 BC,1697,Classic period (c. 250-900 AD),1999.0,250,"https://ageofempires.fandom.com/wiki/Mayans, https://en.wikipedia.org/wiki/Maya_civilization",False,False,975.0,-2600,1697
32,Mongols,The Conquerors,"From the vast steppes of Central Asia, the Mongol hordes swept across continents, forging the largest contiguous land empire in history. Unleash swift and devastating cavalry archers, utilize powerful siege weaponry, and field the unique Mangudai to conquer all who stand in your path. The Mongol unique unit is the Mangudai, a swift cavalry archer that can fire accurately while moving. [https://ageofempires.fandom.com/wiki/Mongols]",1200.0,1300,100,1206,1368,Early 13th century AD (conquests of Genghis Khan),1999.0,1200,"https://ageofempires.fandom.com/wiki/Mongols, https://en.wikipedia.org/wiki/Mongol_Empire",False,False,1250.0,1206,1368
33,Persians,The Conquerors,"From the arid plateaus of Persia, mighty empires rose and fell, leaving behind a legacy of wealth, learning, and military might. Amass vast armies of cavalry, construct magnificent palaces and gardens, and field the unique War Elephant to dominate the battlefields of Asia and the Middle East. The Persian unique unit is the War Elephant, a powerful cavalry unit with high hit points. [https://ageofempires.fandom.com/wiki/Persians]",600.0,1300,700,550 BC,1979,6th century BC (reign of Cyrus the Great),1999.0,-500,"https://ageofempires.fandom.com/wiki/Persians, https://en.wikipedia.org/wiki/Persian_Empire",False,False,950.0,-550,1979
34,Poles,Dawn of the Dukes ,"United by faith and tradition, the Polish kingdoms rose to become a dominant force in Eastern Europe, renowned for their heavy cavalry and unwavering spirit. Field powerful armies of knights and hussars, construct magnificent castles and cathedrals, and unleash your winged hussars upon your enemies to secure victory on the battlefields of the north. The Polish unique unit is the Obuch, an infantry unit that deals extra damage to buildings and has a unique attack animation. [https://ageofempires.fandom.com/wiki/Poles]",966.0,1500,534,966,1795,16th century AD (Polish Golden Age),2021.0,1500,"https://ageofempires.fandom.com/wiki/Poles, https://en.wikipedia.org/wiki/History_of_Poland",False,False,1233.0,966,1795
35,Portuguese,The African Kingdoms ,"Set sail for the new world, discover new routes to unknown lands and expand your trade routes to the mighty African empires. ",1000.0,1600,600,1143,2025,15th-16th centuries AD (Age of Discovery),2016.0,1450,"https://ageofempires.fandom.com/wiki/Portuguese, https://en.wikipedia.org/wiki/History_of_Portugal",False,False,1300.0,1143,2025
36,Romans,Return of Rome ,"Rise to the throne of an empire dominating the Mediterranean Sea and defend your borders against countless barbarian invasions. The Roman unique units are the Legionary, a sturdy infantry unit, and the Centurion, a heavy cavalry unit that increases the power of nearby Militia-line units. ",-753.0,476,1229,753 BC,476 AD,1st-2nd centuries AD (Pax Romana) ,2023.0,50,"((((https://ageofempires.fandom.com/wiki/Romans),((((https://en.wikipedia.org/wiki/Ancient_Rome,((((https://en.wikipedia.org/wiki/Ancient_Rome))))))))",False,True,-138.5,-753,476
37,Saracens,The Conquerors,"From the deserts of Arabia, the Saracens forged a vast empire that stretched from Persia to Spain. Amass vast wealth through trade, construct magnificent mosques and universities, and field versatile armies of camel riders and powerful naval vessels to dominate the battlefields of the Middle East and the Mediterranean. The Saracen unique unit is the Mameluke, a camel rider that throws scimitars.",600.0,1300,700,600,1517,8th-9th centuries AD,1999.0,750,"((((https://ageofempires.fandom.com/wiki/Saracens),((((https://en.wikipedia.org/wiki/Saracens,((((https://en.wikipedia.org/wiki/Saracens))))))))",False,False,950.0,600,1517
38,Sicilians,Lords of the West ,"Experience the diverse cultures and martial spirit of the Mediterranean's crossroads as you build one of the most coveted kingdoms in medieval Europe. The Sicilian unique unit is the Serjeant, a hardy infantry unit that can construct the formidable Donjon. ",1130.0,1816,686,9th century AD (Muslim conquest) ,1861 AD (Part of Kingdom of Italy) ,12th century AD (Norman Kingdom of Sicily under Roger II) ,2021.0,1100,"((((https://ageofempires.fandom.com/wiki/Sicilians),((((https://en.wikipedia.org/wiki/Sicily,((((https://en.wikipedia.org/wiki/Sicily))))))))",False,False,1473.0,9,1861
39,Slavs,The Forgotten ,"From the vast plains of Eastern Europe, the Slavic tribes forged powerful kingdoms and empires that left an enduring mark on the history of the continent. Field hardy infantry and cavalry, construct sturdy fortifications, and unleash the might of your siege weapons to dominate the battlefields of the east. The Slav unique unit is the Boyar, a powerful heavy cavalry unit with high hit points.",500.0,1500,1000,6th century AD (Slavic migrations),2025,9th-11th centuries AD (Kievan Rus'),2013.0,900,"((((https://ageofempires.fandom.com/wiki/Slavs),(https://en.wikipedia.org/wiki/Slavs,(https://en.wikipedia.org/wiki/Slavs)))))",False,False,1000.0,6,2025
40,Spanish,The Conquerors,"From the kingdoms of Iberia, the Spanish conquistadors embarked on voyages of exploration and conquest that reshaped the world. Amass vast wealth from the New World, construct formidable castles and cathedrals, and field powerful armies of conquistadors and missionaries to dominate the battlefields of Europe and the Americas. The Spanish unique unit is the Conquistador, a powerful mounted gunpowder unit.",700.0,1600,900,1479,2025,16th century AD (Spanish Golden Age),2000.0,1500,"((((https://ageofempires.fandom.com/wiki/Spanish),((((https://en.wikipedia.org/wiki/Spain,((((https://en.wikipedia.org/wiki/Spain))))))))",False,False,1150.0,1479,2025
41,Tatars,The Last Khans ,"From the vast steppes of Central Asia, the Tatar hordes emerged as a formidable power, their swift horsemen striking fear into the hearts of their enemies. Field hordes of fast cavalry archers, construct sturdy fortifications, and unleash devastating raids upon your foes to carve out your own empire in the medieval world. The Tatar unique unit is the Keshik, a unique cavalry archer that can convert enemy units.",1000.0,1500,500,13th century AD (Golden Horde),2025,13th-14th centuries AD (height of the Golden Horde),2019.0,1250,"(https://www.google.com/search?q=https://ageofempires.fandom.com/wiki/Tatars),(https://en.wikipedia.org/wiki/Tatars)",False,False,1250.0,13,2025
42,Teutons,The Age of Kings,"From the heart of the Holy Roman Empire, the Teutonic Knights forged a powerful state through conquest and colonization. Construct formidable castles and monasteries, field heavily armored infantry and cavalry, and unleash the might of your Teutonic Knights to dominate the battlefields of Northern Europe. The Teuton unique unit is the Teutonic Knight, a powerful infantry unit with very high melee armor.",900.0,1806,600,10th century AD (formation of Duchy of Saxony),1806 AD (dissolution of Holy Roman Empire),13th-14th centuries AD (height of Teutonic Order's power),1999.0,1250,"(https://www.google.com/search?q=https://ageofempires.fandom.com/wiki/Teutons),(https://en.wikipedia.org/wiki/Teutonic_Order)",False,False,1353.0,10,1806
43,Turks,The Conquerors,"From the steppes of Central Asia, the Turkish tribes migrated westward and established mighty empires that spanned continents. Field swift horse archers and powerful gunpowder units, construct formidable castles and mosques, and unleash the unique Janissary to dominate the battlefields of the Middle East and Eastern Europe. The Turk unique unit is the Janissary, a powerful hand cannon unit.",1000.0,1600,600,6th century AD (Turkic Khaganate),2025,16th century AD (height of Ottoman Empire),1999.0,1500,"(https://www.google.com/search?q=https://ageofempires.fandom.com/wiki/Turks),(https://en.wikipedia.org/wiki/Turks)",False,False,1300.0,6,2025
44,Vietnamese,Rise of the Rajas ,"From the fertile deltas of Southeast Asia, the Vietnamese kingdoms fiercely defended their independence against powerful neighbors. Construct sturdy wooden fortresses, master the art of guerrilla warfare, and field versatile armies of archers and powerful war elephants to protect your homeland from foreign invaders. The Vietnamese unique unit is the Rattan Archer, an archer unit that is resistant to pierce damage. [https://ageofempires.fandom.com/wiki/Vietnamese]",200.0,1500,1300,200 BC,2025,15th century AD (Le Dynasty under Le Loi),2016.0,1400,"https://ageofempires.fandom.com/wiki/Vietnamese, https://en.wikipedia.org/wiki/History_of_Vietnam",False,False,850.0,-200,2025
45,Vikings,The Age of Kings,"From the fjords of Scandinavia, the Viking longboats carried fierce warriors across the seas to raid and conquer vast territories. Amass wealth through plunder and trade, construct sturdy longboats and warships, and field powerful armies of infantry and berserkers to dominate the battlefields of Northern Europe and beyond. The Viking unique unit is the Berserker, a fast infantry unit that regenerates health. [https://ageofempires.fandom.com/wiki/Vikings]",800.0,1050,250,793,1066,9th-10th centuries AD (height of Viking expansion and raids),1999.0,850,"https://ageofempires.fandom.com/wiki/Vikings, https://en.wikipedia.org/wiki/Vikings",False,False,925.0,793,1066
46,Shu,The Three Kingdoms ,"Take the reins of the Kingdom of Shu and fulfil Liu Bei's dream of restoring the Han dynasty. The Shu unique units are the White Feather Guard, an infantryman that slows down units it attacks, and the War Chariot, a vehicle that fires barrages of bolts from a large repeating crossbow. ",221.0,263,42,221,263,221-223 AD (Reign of Liu Bei) ,2025.0,222,"((((https://ageofempires.fandom.com/wiki/Shu),(((https://en.wikipedia.org/wiki/Shu_Han,(((https://en.wikipedia.org/wiki/Shu_Han))))))",True,False,242.0,221,263
47,Wei,The Three Kingdoms ,"Step into the shoes of Cao Cao and dominate China with massive cavalry armies and nefarious schemes. The Wei unique units are the Tiger Cavalry, a horseman that levels up as it kills units, and the Xianbei Raider, a cavalry archer that fires storms of arrows into the enemy ranks. ",220.0,266,46,220,266,220-226 AD (Reign of Cao Pi) ,2025.0,223,"https://ageofempires.fandom.com/wiki/Wei, https://en.wikipedia.org/wiki/Cao_Wei",True,False,243.0,220,266
48,Wu,The Three Kingdoms ,"Lead the Sun Clan to glory through infantry and naval prowess. The Wu unique units are the Fire Archer, a ranged soldier that fires incendiary arrows, and the Jian Swordsman, a heavy infantry unit whose shield offers immense protection – until it breaks. ",222.0,280,58,222,280,229-252 AD (Reign of Sun Quan as Emperor) ,2025.0,240,"https://ageofempires.fandom.com/wiki/Wu, https://en.wikipedia.org/wiki/Eastern_Wu",True,False,251.0,222,280
49,Armenians,The Mountain Royals ,"Throw off the yoke of foreign domination and rebuild your ancestral kingdom in the mountainous terrain near Lakes Van, Sevan, and Urmia. The Armenian unique units are the Composite Bowman, a skilled archer capable of piercing even the sturdiest armor, and the Warrior Priest, an infantry unit that can fight and heal allied units. ",885.0,1045,160,6th century BC,2023,9th-11th centuries AD (Bagratid Kingdom) ,2021.0,900,"https://ageofempires.fandom.com/wiki/Armenians, https://en.wikipedia.org/wiki/Armenians",False,False,965.0,-6,2023
50,Burgundians,Lords of the West,Rise of the powerful Burgundian dukes and early modern European military tactics.,843.0,1795,952,843,1795,15th century,2021.0,1450,https://ageofempires.fandom.com/wiki/Burgundians,False,False,1319.0,843,1795
